	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1	CNF vs MPNST1		CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2	CNF vs MPNST2		CNF vs NF	CNF vs NF	CNF vs NF	CNF vs NF	
	FoldChange	PValue	AdjustedPValue	Group Max Intensity		FoldChange	PValue	AdjustedPValue	Group Max Intensity		FoldChange	PValue	AdjustedPValue	Group Max Intensity	
FN1	-2.648697931	0.004018659	0.00859812	58714.64766	 	-10.65250213	3.96E-06	8.72E-05	343999.027	 	-3.510783778	5.14E-06	2.32E-05	78995.63195	 
IGFBP5	6.356728211	7.72E-06	2.68E-05	59047.53557	 	-1.643768777	0.394069522	0.585558333	104356.3809	 	-1.037528631	0.911992774	0.952600681	59047.53557	 
VIM	2.958530963	1.51E-10	1.00E-09	61207.80416	 	-2.770615858	0.000332718	0.00306531	180652.6507	 	-2.620950183	5.02E-12	5.77E-11	164672.353	 
TIMP3	4.008903523	5.77E-05	0.000174637	18692.61911	 	-2.580513886	0.068260632	0.181867509	60974.16194	 	-2.364431102	0.002167582	0.005720471	47934.4554	 
CTSD	1.903021891	0.005175079	0.010798965	8895.477318	 	-1.977790816	0.069117129	0.18336574	19250.95862	 	-1.608601157	0.011876081	0.025981245	14874.68415	 
PSAP	2.872297116	7.62E-08	3.55E-07	26870.71887	 	-2.041222419	0.028308211	0.095841064	58602.21637	 	-2.650858874	1.56E-09	1.25E-08	73831.42814	 
SPARC	4.375836595	9.77E-14	9.61E-13	64471.43245	 	-2.807443363	0.00167225	0.010941523	196689.536	 	-2.072335674	7.93E-06	3.47E-05	137277.8862	 
ACTB	2.131794858	3.08E-09	1.74E-08	45751.26776	 	-3.20629943	8.09E-08	3.84E-06	152943.7111	 	-2.161779222	2.59E-13	3.52E-12	100448.2127	 
AHNAK	1.0342397	0.873117156	0.912109158	104215.9421	 	1.67266473	0.138363645	0.295956131	104215.9421	 	1.063883112	0.720838831	0.80481866	104215.9421	 
EEF1A1	6.334618324	1	1	292015.7272	 	-1.516345688	1	1	448268.5038	 	-1.210361701	1	1	352718.6336	 
ITGB8	3.491244041	0.006986585	0.014172882	5165.278603	 	-1.195647023	0.771840167	0.868514448	7314.263424	 	-5.953722505	1.50E-06	7.44E-06	41308.25051	 
DAG1	1.77319181	0.000838308	0.002046966	6243.061713	 	1.390621706	0.251286374	0.442398753	6243.061713	 	-3.310273397	2.38E-17	5.49E-16	21261.09156	 
CD74	5.123713608	0.00352407	0.007621361	25736.80703	 	-1.9534186	0.295133919	0.489734353	85423.45093	 	-3.985374003	0.001639125	0.004462358	141030.5784	 
NGFR	1.818547894	0.2687545	0.353691857	4337.263665	 	1.595414591	0.465547982	0.646929276	4337.263665	 	-2.239590174	0.058430803	0.104049516	10874.33723	 
MAP1B	-2.499410817	0.00028333	0.000755442	14248.44297	 	-1.298374674	0.520496922	0.690453488	7420.90405	 	-2.058242415	0.000484649	0.001489367	11663.43987	 
FLNA	-2.189764197	7.98E-05	0.000235342	44757.7487	 	-1.502112382	0.216255084	0.401759439	31130.05967	 	-1.270133212	0.143472104	0.221036669	25709.23266	 
COL7A1	1.543804889	0.221963059	0.30106425	11214.8746	 	5.621417317	0.001143342	0.008155876	11214.8746	 	14.93754413	8.09E-21	2.83E-19	11214.8746	 
COL1A2	1.278107528	0.43508269	0.52701878	61951.79592	 	-6.016237994	0.000218224	0.002214624	547710.274	 	-2.184950079	0.002298157	0.006025363	153710.3398	 
HSPG2	-1.237846372	0.426588084	0.518559192	25562.62205	 	2.015481554	0.101455543	0.240604329	20366.38754	 	-1.268516865	0.279076302	0.382167752	26215.65558	 
ACTG1	1.96991184	3.38E-05	0.000106205	33723.53323	 	-2.389097198	0.00152664	0.010172067	85092.31154	 	-1.639038956	0.000245689	0.000802379	56454.35832	 
TIMP2	3.24884506	3.27E-10	2.07E-09	18192.99193	 	-2.999432562	0.000430155	0.003768393	59255.67346	 	-2.202272815	3.11E-07	1.73E-06	41268.43912	 
B2M	10.10639542	8.61E-31	4.65E-29	51831.69013	 	-2.161250097	0.02016748	0.074488229	117730.2459	 	-1.710794421	0.001129067	0.003195319	89238.21963	 
CD59	10.01425026	3.11E-36	2.76E-34	16249.80288	 	1.027007829	0.930490318	0.960538636	16249.80288	 	-1.761501837	0.000174603	0.000587564	28948.83568	 
SEMA3B	1.795087283	0.051342556	0.084684756	6201.237116	 	1.961438857	0.150473821	0.312377254	6201.237116	 	-2.140558957	0.001906858	0.005116695	13504.02692	 
SH3PXD2A	4.03424233	9.62E-12	7.36E-11	14472.4247	 	1.594693122	0.167554548	0.337055183	14472.4247	 	-1.225020819	0.228028026	0.324533718	17552.53284	 
FTH1	2.97843418	8.53E-11	5.82E-10	19511.27332	 	-4.503679135	9.50E-08	4.39E-06	96094.71262	 	-3.3817671	1.42E-18	3.72E-17	68245.87056	 
ITGA6	2.940969943	0.002289076	0.005125129	8164.903465	 	2.335680336	0.108692576	0.251906276	8164.903465	 	-1.778168978	0.045096892	0.083167174	14674.73708	 
FTL	4.234074976	5.01E-15	5.71E-14	21751.55486	 	-4.225584483	2.73E-06	6.40E-05	101573.1835	 	-2.862705865	4.23E-12	4.90E-11	64416.47251	 
COL6A2	1.690653787	0.285776243	0.372306014	47274.47762	 	-2.062972707	0.249841786	0.440857724	142905.8125	 	-1.019376157	0.960912929	0.985583276	48547.21405	 
GPC1	2.834409349	4.74E-07	1.97E-06	7040.997814	 	1.320207688	0.415678347	0.6053463	7040.997814	 	1.671787803	0.002520635	0.006541632	7040.997814	 
COL8A1	-1.804631116	0.06641536	0.106111898	3646.73445	 	-2.818686684	0.035857617	0.113882894	6682.094599	 	-4.102242022	7.22E-08	4.48E-07	8629.25931	 
SPTBN1	-1.021092223	0.886873275	0.92252592	41940.93732	 	2.01230153	0.004819989	0.024917883	41185.51086	 	-1.491293252	0.000957851	0.002753861	61472.8412	 
DST	-2.534702734	8.03E-08	3.74E-07	37445.93537	 	2.100510246	0.010561258	0.045637387	14534.49627	 	1.155497543	0.311452713	0.417130369	14534.49627	 
LRP1	-2.462900625	2.68E-06	9.98E-06	55003.63612	 	-2.052031467	0.024213953	0.085342925	47240.22611	 	-1.496849367	0.010693899	0.023665879	33152.06612	 
NRP2	-1.81790096	0.09436714	0.144261128	4085.892078	 	-5.925061247	0.000833543	0.006327506	18736.30689	 	-4.884696766	4.55E-08	2.92E-07	11671.69324	 
PKM	-1.121447035	0.383289553	0.475154008	11598.57128	 	-4.130648331	2.12E-10	2.73E-08	44461.89328	 	-1.118385777	0.302554564	0.407746715	11566.37831	 
MMP14	-1.494996059	0.139816226	0.202896385	11553.39687	 	-4.073534098	0.001183283	0.008381758	37042.43214	 	-1.311100246	0.224372269	0.320349507	10084.26961	 
FAM129B	1.269850483	0.095765641	0.146053892	8087.272221	 	1.3905501	0.174570399	0.346553461	8087.272221	 	1.488629752	0.000776122	0.002275334	8087.272221	 
COL3A1	1.690231345	0.129707325	0.189980623	79507.05912	 	-5.074375515	0.001829995	0.011746032	583638.9171	 	-2.06211921	0.010154054	0.022596061	177977.8259	 
ITGB1	1.719386456	0.006760825	0.013758053	17015.27595	 	-2.066522596	0.028390634	0.096019825	37956.33872	 	-2.200904695	1.65E-06	8.10E-06	39007.66183	 
MMP2	1.293598236	0.580607433	0.665796442	11738.60045	 	-2.517478953	0.134892492	0.290873152	50727.48054	 	-1.691069273	0.158551442	0.240407548	24457.45718	 
SCD	4.702172915	1.08E-06	4.23E-06	17402.06573	 	1.659804195	0.300047581	0.494898346	17402.06573	 	-2.647144969	0.000168374	0.00056945	48194.98931	 
COL6A1	1.87771977	0.145130629	0.20946984	43192.92458	 	-2.148811249	0.200190836	0.381390958	120930.8272	 	1.358575483	0.378104031	0.487267773	43192.92458	 
UBC	1.691431659	1.59E-05	5.25E-05	35108.47706	 	-1.870038392	0.002546539	0.015145597	66926.98658	 	-1.67275551	3.09E-07	1.72E-06	59135.87436	 
ANXA2	3.728353978	4.39E-09	2.42E-08	26690.14161	 	-1.263794383	0.523203323	0.692679971	34638.75877	 	1.196163945	0.330768564	0.437564612	26690.14161	 
COL1A1	1.170894493	0.636292174	0.715253393	64711.12893	 	-5.625733971	0.0006624	0.005283227	554591.1735	 	-1.759950925	0.037364916	0.070754393	129645.764	 
NES	-2.48141596	0.067697862	0.107853589	14050.77448	 	-1.398531754	0.595188377	0.74713175	8368.81815	 	-2.311256565	0.034172938	0.065558874	12932.82939	 
PMEPA1	2.347983371	0.023699313	0.042576238	4163.573379	 	-1.869778673	0.256961811	0.44814162	9522.994895	 	-1.93401927	0.030912741	0.059940211	8717.208296	 
